Country,Jet A1 price $/bbl,Jet A1 price $/MT,Jet A1 price $/gallon,Jet A1 price $/liter
 Australia,173.8,1373,4.14,1.093
 Austria,172,1358.8,4.1,1.082
 Azerbaijan,173.8,1373,4.14,1.093
 Algeria,168.3,1329.6,4.01,1.058
 Angola,168.3,1329.6,4.01,1.058
 Argentina,178.5,1410.2,4.25,1.123
 Armenia,173.8,1373,4.14,1.093
 Afghanistan,173.8,1373,4.14,1.093
 Bangladesh,173.8,1373,4.14,1.093
 Belarus,172,1358.8,4.1,1.082
 Belize,178.5,1410.2,4.25,1.123
 Belgium,172,1358.8,4.1,1.082
 Bulgaria,172,1358.8,4.1,1.082
 Bolivia,178.5,1410.2,4.25,1.123
 Brazil,178.5,1410.2,4.25,1.123
 Hungary,172,1358.8,4.1,1.082
 Venezuela,178.5,1410.2,4.25,1.123
 Vietnam,173.8,1373,4.14,1.093
 Ghana,168.3,1329.6,4.01,1.058
 Guatemala,178.5,1410.2,4.25,1.123
 Guinea,168.3,1329.6,4.01,1.058
 Germany,172,1358.8,4.1,1.082
 Honduras,178.5,1410.2,4.25,1.123
 Hong Kong,173.8,1373,4.14,1.093
 Greece,172,1358.8,4.1,1.082
 Georgia,173.8,1373,4.14,1.093
 Denmark,172,1358.8,4.1,1.082
 Dominican Republic,178.5,1410.2,4.25,1.123
 Egypt,168.3,1329.6,4.01,1.058
 Zambia,168.3,1329.6,4.01,1.058
 Zimbabwe,168.3,1329.6,4.01,1.058
 Israel,173.8,1373,4.14,1.093
 India,173.8,1373,4.14,1.093
 Indonesia,173.8,1373,4.14,1.093
 Jordan,173.8,1373,4.14,1.093
 Iraq,173.8,1373,4.14,1.093
 Iran,173.8,1373,4.14,1.093
 Ireland,172,1358.8,4.1,1.082
 Iceland,172,1358.8,4.1,1.082
 Spain,172,1358.8,4.1,1.082
 Italy,172,1358.8,4.1,1.082
 Yemen,173.8,1373,4.14,1.093
 Kazakhstan,173.8,1373,4.14,1.093
 Cambodia,173.8,1373,4.14,1.093
 Cameroon,168.3,1329.6,4.01,1.058
 Canada,177.5,1402.3,4.23,1.116
 Qatar,173.8,1373,4.14,1.093
 Kenya,168.3,1329.6,4.01,1.058
 Cyprus,173.8,1373,4.14,1.093
 Kyrgyzstan,173.8,1373,4.14,1.093
 China,173.8,1373,4.14,1.093
 Colombia,178.5,1410.2,4.25,1.123
 Congo,168.3,1329.6,4.01,1.058
 Korea South,173.8,1373,4.14,1.093
 Costa Rica,178.5,1410.2,4.25,1.123
 Cote D'Ivoire (Ivory Coast),168.3,1329.6,4.01,1.058
 Cuba,178.5,1410.2,4.25,1.123
 Kuwait,173.8,1373,4.14,1.093
 Laos,173.8,1373,4.14,1.093
 Latvia,172,1358.8,4.1,1.082
 liberia,168.3,1329.6,4.01,1.058
 Libya,168.3,1329.6,4.01,1.058
 Lithuania,172,1358.8,4.1,1.082
 mauretania,168.3,1329.6,4.01,1.058
 Malaysia,173.8,1373,4.14,1.093
 Morocco,168.3,1329.6,4.01,1.058
 Mexico,178.5,1410.2,4.25,1.123
 Mozambik,168.3,1329.6,4.01,1.058
 Moldova,172,1358.8,4.1,1.082
 Mongolia,173.8,1373,4.14,1.093
 Myanmar,173.8,1373,4.14,1.093
 Namibia,168.3,1329.6,4.01,1.058
 Nepal,173.8,1373,4.14,1.093
 Nigeria,168.3,1329.6,4.01,1.058
 Netherlands,172,1358.8,4.1,1.082
 Nicaragua,178.5,1410.2,4.25,1.123
 New Zealand,173.8,1373,4.14,1.093
 Norway,172,1358.8,4.1,1.082
 United Arab Emirates,173.8,1373,4.14,1.093
 Oman,173.8,1373,4.14,1.093
 Pakistan,173.8,1373,4.14,1.093
 Panama,178.5,1410.2,4.25,1.123
 Paraguay,178.5,1410.2,4.25,1.123
 Peru,178.5,1410.2,4.25,1.123
 Poland,172,1358.8,4.1,1.082
 Portugal,172,1358.8,4.1,1.082
 Russia,172,1358.8,4.1,1.082
 Romania,172,1358.8,4.1,1.082
 Saudi Arabia,173.8,1373,4.14,1.093
 Seychelles,168.3,1329.6,4.01,1.058
 Senegal,168.3,1329.6,4.01,1.058
 Serbia,172,1358.8,4.1,1.082
 Singapore,173.8,1373,4.14,1.093
 Syria,173.8,1373,4.14,1.093
 Slovakia,172,1358.8,4.1,1.082
 Slovenia,172,1358.8,4.1,1.082
 United Kingdom,172,1358.8,4.1,1.082
 Sudan,168.3,1329.6,4.01,1.058
 United States,177.5,1402.3,4.23,1.116
 Tajikistan,173.8,1373,4.14,1.093
 Thailand,173.8,1373,4.14,1.093
 Taiwan,173.8,1373,4.14,1.093
 Tanzania,168.3,1329.6,4.01,1.058
 Tunisia,168.3,1329.6,4.01,1.058
 Turkmenistan,173.8,1373,4.14,1.093
 Turkey,173.8,1373,4.14,1.093
 Uganda,168.3,1329.6,4.01,1.058
 Uzbekistan,173.8,1373,4.14,1.093
 Ukraine,172,1358.8,4.1,1.082
 Uruguay,178.5,1410.2,4.25,1.123
 Faroe Islands,172,1358.8,4.1,1.082
 Philippines,173.8,1373,4.14,1.093
 Finland,172,1358.8,4.1,1.082
 France,172,1358.8,4.1,1.082
 Croatia (Hrvatska),172,1358.8,4.1,1.082
 Czech Republic,172,1358.8,4.1,1.082
 Chile,178.5,1410.2,4.25,1.123
 Switzerland,172,1358.8,4.1,1.082
 Sweden,172,1358.8,4.1,1.082
 Sri Lanka,173.8,1373,4.14,1.093
 Ecuador,178.5,1410.2,4.25,1.123
 El Salvador,178.5,1410.2,4.25,1.123
 Estonia,172,1358.8,4.1,1.082
 Ethiopia,168.3,1329.6,4.01,1.058
 South Africa,168.3,1329.6,4.01,1.058
 Japan,173.8,1373,4.14,1.093
" Bahamas, The",178.5,1410.2,4.25,1.123
 Botswana,168.3,1329.6,4.01,1.058
 Solomon Islands,173.8,1373,4.14,1.093
 Brunei,173.8,1373,4.14,1.093
 Central African Republic,168.3,1329.6,4.01,1.058
 Chad,168.3,1329.6,4.01,1.058
 Fiji,173.8,1373,4.14,1.093
 Gabon,168.3,1329.6,4.01,1.058
 Kiribati,173.8,1373,4.14,1.093
 Guyana,178.5,1410.2,4.25,1.123
 Haiti,178.5,1410.2,4.25,1.123
 Jamaica,178.5,1410.2,4.25,1.123
" Korea, North",173.8,1373,4.14,1.093
 Lesotho,168.3,1329.6,4.01,1.058
 Madagascar,168.3,1329.6,4.01,1.058
 Malawi,168.3,1329.6,4.01,1.058
 Maldives,173.8,1373,4.14,1.093
 Mali,168.3,1329.6,4.01,1.058
 Vanuatu,173.8,1373,4.14,1.093
 Niger,168.3,1329.6,4.01,1.058
 Marshall Islands,173.8,1373,4.14,1.093
 Papua New Guinea,173.8,1373,4.14,1.093
 Somalia,168.3,1329.6,4.01,1.058
 South Sudan,168.3,1329.6,4.01,1.058
 Suriname,178.5,1410.2,4.25,1.123
 Swaziland,168.3,1329.6,4.01,1.058
 Togo,168.3,1329.6,4.01,1.058
 Burkina Faso,168.3,1329.6,4.01,1.058
